07-30 16:19:16: New best reward -115.81 at episode 0, saving model...
07-30 16:19:17: New best reward -103.30 at episode 2, saving model...
07-30 16:19:17: New best reward -102.37 at episode 7, saving model...
07-30 16:19:17: New best reward -102.15 at episode 8, saving model...
07-30 16:19:18: New best reward -99.74 at episode 16, saving model...
07-30 16:19:18: New best reward -99.74 at episode 18, saving model...
07-30 16:19:18: New best reward -97.36 at episode 19, saving model...
07-30 16:19:18: New best reward -96.73 at episode 21, saving model...
07-30 16:19:47: New best reward -96.60 at episode 574, saving model...
07-30 16:19:51: New best reward -92.90 at episode 591, saving model...
07-30 16:20:15: New best reward -92.25 at episode 644, saving model...
07-30 16:20:17: New best reward -75.96 at episode 657, saving model...
07-30 16:20:31: New best reward -69.55 at episode 702, saving model...
07-30 16:21:36: New best reward -58.54 at episode 780, saving model...
07-30 16:21:37: New best reward -39.58 at episode 781, saving model...
07-30 16:22:17: New best reward -38.88 at episode 830, saving model...
07-30 16:22:56: New best reward -38.74 at episode 865, saving model...
07-30 16:23:01: New best reward -36.72 at episode 871, saving model...
07-30 16:23:05: New best reward -28.34 at episode 874, saving model...
07-30 16:23:38: New best reward -22.61 at episode 900, saving model...
07-30 16:23:55: New best reward -22.57 at episode 913, saving model...
07-30 16:24:05: New best reward -22.52 at episode 921, saving model...
07-30 16:24:07: New best reward -7.60 at episode 922, saving model...
07-30 16:24:08: New best reward -7.23 at episode 923, saving model...
07-30 16:25:02: New best reward 19.42 at episode 975, saving model...
07-30 16:25:15: New best reward 51.31 at episode 997, saving model...
07-30 16:25:25: New best reward 61.87 at episode 1010, saving model...
07-30 16:25:30: New best reward 99.63 at episode 1015, saving model...
07-30 16:25:31: New best reward 174.79 at episode 1017, saving model...
07-30 16:25:52: New best reward 231.05 at episode 1074, saving model...
07-30 16:25:53: New best reward 236.41 at episode 1075, saving model...
07-30 16:25:58: New best reward 240.54 at episode 1079, saving model...
07-30 16:26:00: New best reward 256.18 at episode 1082, saving model...
07-30 16:26:02: New best reward 267.44 at episode 1084, saving model...
07-30 16:26:30: New best reward 269.20 at episode 1112, saving model...
07-30 16:26:36: New best reward 269.35 at episode 1120, saving model...
07-30 16:26:51: New best reward 273.73 at episode 1143, saving model...
07-30 16:26:58: New best reward 278.08 at episode 1155, saving model...
07-30 16:27:09: New best reward 279.82 at episode 1173, saving model...
07-30 16:27:27: New best reward 282.81 at episode 1210, saving model...
07-30 16:27:30: New best reward 284.38 at episode 1215, saving model...
07-30 16:27:48: New best reward 287.34 at episode 1240, saving model...
07-30 16:27:53: New best reward 287.81 at episode 1247, saving model...
07-30 16:27:57: New best reward 289.89 at episode 1253, saving model...
07-30 16:28:39: New best reward 291.84 at episode 1319, saving model...
