07-25 15:33:17: Training starting...
07-25 15:33:18: New best reward -94.18 (-100.0%) at episode 0, saving model...
07-25 15:33:18: New best reward -92.96 (-1.3%) at episode 1, saving model...
07-25 15:33:18: New best reward -22.97 (-75.3%) at episode 3, saving model...
07-25 15:33:18: New best reward -13.31 (-42.1%) at episode 4, saving model...
07-25 15:47:58: New best reward -13.30 (-0.0%) at episode 3155, saving model...
07-25 15:47:59: New best reward -13.26 (-0.3%) at episode 3158, saving model...
07-25 15:48:00: New best reward -12.00 (-9.5%) at episode 3161, saving model...
07-25 15:48:05: New best reward -11.98 (-0.2%) at episode 3177, saving model...
07-25 19:04:48: New best reward -4.08 (-65.9%) at episode 82704, saving model...
07-25 21:17:00: New best reward 8.34 (-304.2%) at episode 119843, saving model...
07-25 22:52:19: New best reward 17.23 (+106.7%) at episode 140909, saving model...
07-25 22:55:45: New best reward 41.47 (+140.7%) at episode 141671, saving model...
07-25 23:07:19: New best reward 153.82 (+270.9%) at episode 143851, saving model...
