07-30 16:47:57: New best reward -1392.57 at episode 0, saving model...
07-30 16:47:58: New best reward -1389.93 at episode 1, saving model...
07-30 16:47:59: New best reward -1348.99 at episode 18, saving model...
07-30 16:48:01: New best reward -1342.26 at episode 33, saving model...
07-30 16:48:02: New best reward -1148.09 at episode 40, saving model...
07-30 16:48:11: New best reward -246.82 at episode 122, saving model...
07-30 16:48:17: New best reward -4.09 at episode 180, saving model...
07-30 16:48:25: New best reward -1.93 at episode 251, saving model...
07-30 16:48:27: New best reward -0.83 at episode 266, saving model...
07-30 16:48:30: New best reward -0.76 at episode 289, saving model...
07-30 16:48:32: New best reward -0.29 at episode 308, saving model...
07-30 16:49:01: New best reward -0.27 at episode 561, saving model...
07-30 16:49:03: New best reward -0.20 at episode 573, saving model...
