07-26 14:50:54: Training starting...
07-26 14:50:55: New best reward -1364.34 (-100.0%) at episode 0, saving model...
07-26 14:50:55: New best reward -1323.50 (-3.0%) at episode 12, saving model...
07-26 14:50:55: New best reward -1261.83 (-4.7%) at episode 13, saving model...
07-26 14:50:55: New best reward -858.38 (-32.0%) at episode 14, saving model...
07-26 14:51:13: New best reward -811.39 (-5.5%) at episode 811, saving model...
07-26 14:51:14: New best reward -782.10 (-3.6%) at episode 847, saving model...
07-26 14:51:15: New best reward -775.93 (-0.8%) at episode 888, saving model...
07-26 14:51:15: New best reward -760.13 (-2.0%) at episode 899, saving model...
07-26 14:51:20: New best reward -758.96 (-0.2%) at episode 1113, saving model...
07-26 14:51:20: New best reward -653.87 (-13.8%) at episode 1119, saving model...
07-26 14:51:25: New best reward -647.28 (-1.0%) at episode 1325, saving model...
07-26 14:51:35: New best reward -558.49 (-13.7%) at episode 1786, saving model...
07-26 14:52:03: New best reward -538.61 (-3.6%) at episode 3037, saving model...
07-26 14:52:04: New best reward -528.77 (-1.8%) at episode 3084, saving model...
07-26 14:52:06: New best reward -525.09 (-0.7%) at episode 3161, saving model...
07-26 14:52:08: New best reward -466.34 (-11.2%) at episode 3231, saving model...
07-26 14:52:08: New best reward -415.92 (-10.8%) at episode 3268, saving model...
07-26 14:52:09: New best reward -407.54 (-2.0%) at episode 3281, saving model...
07-26 14:52:09: New best reward -401.21 (-1.6%) at episode 3298, saving model...
07-26 14:52:09: New best reward -396.23 (-1.2%) at episode 3301, saving model...
07-26 14:52:11: New best reward -377.39 (-4.8%) at episode 3366, saving model...
07-26 14:52:11: New best reward -146.61 (-61.2%) at episode 3390, saving model...
07-26 14:52:11: New best reward -143.16 (-2.3%) at episode 3393, saving model...
07-26 14:52:12: New best reward -138.24 (-3.4%) at episode 3419, saving model...
07-26 14:52:12: New best reward -128.53 (-7.0%) at episode 3433, saving model...
07-26 14:52:12: New best reward -127.93 (-0.5%) at episode 3435, saving model...
07-26 14:52:13: New best reward -16.81 (-86.9%) at episode 3445, saving model...
07-26 14:52:13: New best reward -11.91 (-29.1%) at episode 3451, saving model...
07-26 14:52:13: New best reward -6.94 (-41.7%) at episode 3463, saving model...
07-26 14:52:15: New best reward -6.19 (-10.8%) at episode 3530, saving model...
07-26 14:52:15: New best reward -3.54 (-42.8%) at episode 3541, saving model...
07-26 14:52:15: New best reward -3.30 (-6.8%) at episode 3565, saving model...
07-26 14:52:15: New best reward -2.12 (-35.7%) at episode 3566, saving model...
07-26 14:52:17: New best reward -1.17 (-45.0%) at episode 3619, saving model...
07-26 14:52:17: New best reward -0.81 (-30.2%) at episode 3631, saving model...
07-26 14:52:17: New best reward -0.39 (-52.6%) at episode 3647, saving model...
07-26 14:52:18: New best reward -0.17 (-56.7%) at episode 3687, saving model...
07-26 14:52:19: New best reward -0.14 (-17.9%) at episode 3711, saving model...
